words,links,capital_words,spam_word_count,is_spam
66,1,3,2,0
232,1,2,2,0
975,5,27,5,1
576,6,2,5,1
234,4,25,5,1
102,4,27,10,1
237,3,1,0,0
200,2,2,0,0
278,4,1,3,0
241,2,3,1,0
252,0,0,1,0
82,4,5,3,1
655,7,10,1,1
409,10,25,4,1
43,0,5,1,0
425,3,13,5,1
689,10,27,9,1
292,1,0,1,0
583,2,10,6,1
382,1,14,0,1
185,0,3,0,0
232,1,0,1,0
83,0,3,2,0
101,3,0,1,1
302,6,21,8,1
297,5,6,2,1
487,2,0,0,0
553,4,25,4,1
491,1,10,3,0
599,7,9,9,1
183,0,2,0,0
274,1,1,0,0
162,2,4,0,0
106,1,0,0,0
113,6,18,3,1
212,2,3,1,0
478,0,9,9,1
638,5,29,8,1
261,10,27,6,1
80,2,3,0,0
193,1,3,1,0
85,1,3,3,0
383,1,1,0,0
186,1,4,2,0
228,1,0,0,0
112,1,0,6,0
543,1,4,10,1
176,2,1,2,0
231,4,2,2,0
335,2,1,10,1
229,3,24,6,1
366,6,12,8,1
898,8,27,8,1
192,3,9,9,1
301,1,21,3,1
959,3,13,10,1
713,2,3,2,1
989,10,6,2,1
77,2,0,0,0
626,7,4,4,1
145,6,17,7,1
176,0,7,6,0
926,3,22,5,1
631,6,22,0,1
134,9,2,8,1
773,7,1,4,1
256,3,23,4,1
266,3,15,6,1
596,2,6,2,1
167,2,3,4,0
761,5,29,7,1
871,3,10,8,1
256,1,1,2,0
381,5,3,2,0
195,0,0,1,0
531,3,25,3,1
57,0,1,1,0
465,2,3,2,0
65,3,2,1,0
647,2,11,1,1
268,0,0,0,0
505,4,25,6,1
159,2,6,8,1
148,0,0,2,0
220,9,24,2,1
599,4,15,10,1
166,1,2,0,0
244,6,6,3,1
479,1,0,1,0
237,6,0,5,1
733,7,9,9,1
107,2,3,2,0
255,1,1,0,0
74,0,2,0,0
96,1,0,0,0
440,10,5,7,1
214,1,2,1,0
788,7,25,10,1
137,4,3,0,0
210,0,3,0,0
183,5,24,9,1
352,2,0,5,0
160,3,2,9,1
716,0,2,6,1
739,3,5,1,1
222,2,0,2,0
39,0,0,1,0
215,0,0,0,0
147,0,2,0,0
155,4,15,10,1
199,0,2,4,0
273,2,10,2,0
393,7,20,4,1
269,1,8,0,0
396,4,16,4,1
284,1,3,0,0
158,1,10,1,0
137,2,0,0,0
198,9,6,10,1
226,0,2,2,0
165,4,3,1,0
179,2,3,0,0
192,9,13,8,1
214,1,2,1,0
245,4,16,0,1
349,7,4,1,1
156,1,9,1,0
662,5,6,7,1
237,1,3,2,0
589,3,24,5,1
171,1,1,1,0
542,2,12,3,1
278,2,0,0,0
516,9,2,4,1
898,10,25,3,1
924,8,15,10,1
251,1,0,0,0
298,3,1,2,0
165,5,23,0,1
148,2,7,1,0
121,2,10,3,1
148,3,0,1,0
295,0,2,1,0
303,8,23,8,1
127,5,23,10,1
79,1,3,3,0
753,1,5,3,1
621,10,28,2,1
87,0,3,0,0
275,0,9,1,0
139,1,0,1,0
128,5,4,3,1
157,2,2,8,1
338,2,2,0,0
170,8,23,4,1
62,1,1,0,0
62,2,27,8,1
513,5,21,8,1
434,8,20,9,1
758,3,28,4,1
281,2,1,1,0
27,4,2,4,0
38,0,0,2,0
200,4,0,2,0
138,0,10,9,1
164,7,10,6,1
50,3,26,2,1
855,2,15,3,1
318,2,3,0,0
776,7,28,7,1
42,2,3,1,0
430,7,5,9,1
95,1,3,1,0
93,1,3,0,0
223,1,0,5,0
194,2,0,5,0
108,10,24,10,1
87,3,0,2,0
219,0,0,0,0
254,0,1,2,0
468,9,12,7,1
270,0,1,1,0
110,9,12,0,1
260,1,1,0,0
897,7,4,10,1
56,0,2,1,0
114,1,20,3,1
290,1,0,0,0
875,8,9,0,1
451,2,5,3,1
99,0,0,2,0
694,2,16,7,1
281,1,1,0,0
145,1,3,2,0
179,4,1,2,0
362,8,23,8,1
442,0,23,5,1
101,1,0,0,0
982,6,8,8,1
850,2,7,9,1
596,1,3,5,1
208,7,14,10,1
781,8,16,7,1
140,3,24,8,1
174,4,0,1,0
829,1,6,6,1
176,3,12,3,1
184,5,27,10,1
110,0,3,1,0
856,3,1,6,1
144,0,0,9,1
855,7,22,4,1
247,3,3,8,1
56,1,4,0,0
502,2,4,5,1
262,2,3,2,0
498,3,10,4,1
157,0,5,4,0
299,7,10,8,1
212,0,3,3,0
333,10,0,0,1
243,2,2,2,0
270,2,3,0,0
111,1,1,1,0
130,0,1,2,0
260,8,5,4,1
422,2,1,0,0
133,4,23,3,1
225,0,3,6,0
127,9,2,7,1
80,0,30,2,1
232,1,2,0,0
149,3,5,10,1
217,1,22,4,1
945,2,9,1,1
96,0,1,6,0
285,1,2,1,0
309,2,26,7,1
68,1,1,2,0
269,0,15,5,1
243,5,9,4,1
554,0,28,10,1
769,10,3,5,1
278,2,3,1,0
67,1,3,1,0
112,1,2,0,0
106,8,17,3,1
706,6,7,4,1
163,6,23,3,1
151,2,9,9,1
299,8,0,10,1
410,5,0,10,1
553,3,9,10,1
200,1,5,1,0
666,3,20,4,1
239,4,5,2,1
453,1,0,1,0
696,7,30,3,1
177,0,3,4,0
172,4,18,7,1
131,5,26,3,1
859,8,15,0,1
125,1,1,0,0
168,2,1,4,0
742,7,6,3,1
888,2,8,5,1
794,2,11,9,1
880,8,24,10,1
219,1,3,1,0
958,8,11,2,1
222,3,26,9,1
64,5,9,2,1
208,0,3,4,0
381,1,1,0,0
21,0,6,1,0
131,5,10,2,1
153,2,4,0,0
171,1,3,1,0
710,8,12,9,1
94,1,2,0,0
99,10,8,7,1
149,2,0,0,0
812,7,11,6,1
648,7,21,4,1
596,7,5,8,1
106,2,0,6,0
191,2,1,4,1
214,2,3,0,0
228,2,8,0,0
40,1,5,0,0
405,1,1,2,0
540,8,0,8,1
52,10,2,2,1
532,9,15,10,1
185,5,3,2,0
126,1,2,1,0
390,7,26,5,1
638,5,22,3,1
610,7,4,5,1
23,0,1,1,0
185,2,21,6,1
731,10,0,8,1
108,1,4,0,0
83,0,3,2,0
82,5,2,2,0
288,5,1,2,0
283,2,3,1,0
283,3,11,9,1
597,7,16,3,1
917,2,17,3,1
141,0,12,4,1
259,1,7,2,0
457,0,2,0,0
169,1,2,6,0
737,2,4,7,1
399,9,21,2,1
78,5,3,2,0
23,4,2,6,0
158,2,4,1,0
286,4,3,2,0
672,10,7,10,1
197,0,1,6,0
275,9,3,5,1
878,7,25,3,1
145,2,3,0,0
994,8,16,0,1
343,5,0,4,1
193,4,1,2,0
720,7,8,10,1
265,2,6,6,0
226,4,8,9,1
321,6,23,8,1
959,2,30,6,1
29,4,3,5,0
764,10,23,3,1
352,4,15,4,1
647,7,22,9,1
613,8,12,8,1
226,0,3,0,0
997,2,17,4,1
149,1,0,1,0
612,6,9,0,1
116,1,5,0,0
162,1,1,3,0
363,8,9,9,1
308,0,2,2,0
377,1,11,0,1
74,2,3,0,0
113,3,3,1,0
179,5,7,8,1
26,1,2,1,0
638,2,25,1,1
209,3,0,6,0
326,8,11,4,1
160,9,20,0,1
717,8,22,7,1
925,3,23,2,1
714,10,19,3,1
841,9,1,1,1
508,5,24,8,1
52,2,2,2,0
158,1,2,2,0
123,4,2,2,0
322,9,22,9,1
894,4,11,2,1
183,9,5,9,1
348,6,1,7,1
432,0,2,0,0
247,1,3,0,0
134,9,2,6,1
212,2,0,6,0
314,9,7,4,1
64,1,4,2,0
288,4,0,4,0
822,2,10,8,1
133,0,20,6,1
223,0,0,2,0
957,1,9,2,1
933,3,29,4,1
257,3,1,1,0
96,0,3,1,0
135,3,23,9,1
624,9,11,9,1
623,3,15,10,1
971,10,19,4,1
679,3,16,5,1
257,1,10,1,0
251,8,10,9,1
261,2,2,2,0
189,4,2,0,0
138,6,26,0,1
164,2,4,2,0
199,2,8,2,0
610,8,18,3,1
149,3,25,6,1
404,5,10,1,1
126,0,13,10,1
183,5,23,0,1
446,0,4,2,0
880,5,22,5,1
728,2,22,3,1
206,1,1,2,0
99,1,0,2,0
96,2,0,5,0
300,1,3,0,0
195,3,12,9,1
480,3,11,1,1
151,0,0,2,0
630,6,22,4,1
206,1,1,0,0
148,0,1,6,0
452,6,12,6,1
672,5,13,10,1
364,6,20,3,1
71,2,0,1,0
374,10,30,5,1
463,8,7,8,1
35,0,1,0,0
165,1,2,0,0
252,10,17,9,1
341,6,28,6,1
137,7,3,1,1
959,2,30,3,1
41,0,1,2,0
145,1,2,0,0
47,2,0,2,0
579,9,17,7,1
759,2,1,2,1
284,1,3,2,0
344,0,3,1,0
182,2,26,10,1
187,4,28,9,1
195,5,23,2,1
467,8,1,8,1
68,0,0,2,0
121,0,9,6,0
257,0,2,0,0
890,10,28,8,1
603,10,11,3,1
170,5,1,0,0
190,2,0,1,0
66,0,1,0,0
103,0,0,1,0
649,6,2,0,1
172,0,0,6,0
181,2,0,2,0
201,2,16,8,1
291,9,22,6,1
438,1,3,5,0
167,9,9,4,1
76,3,19,7,1
745,2,10,8,1
189,1,2,1,0
454,0,0,0,0
247,0,1,2,0
180,1,1,2,0
115,0,3,0,0
298,0,2,0,0
420,3,20,1,1
304,1,6,2,0
170,2,2,2,0
107,6,14,3,1
239,1,0,3,0
79,4,25,6,1
332,7,5,6,1
818,4,11,4,1
266,1,3,2,0
138,7,28,4,1
803,10,1,8,1
303,2,12,9,1
28,0,1,0,0
176,1,8,1,0
93,1,5,1,0
316,3,3,5,1
251,5,5,0,0
174,1,2,2,0
735,7,16,2,1
149,1,7,2,0
292,1,3,0,0
92,0,3,1,0
119,1,0,3,0
25,2,0,2,0
156,2,2,1,0
862,3,2,4,1
207,0,9,1,0
375,5,24,1,1
161,1,3,1,0
528,4,17,7,1
164,1,2,5,0
95,5,1,0,0
334,5,5,9,1
68,2,3,2,0
285,2,3,1,0
209,2,0,1,0
715,8,14,7,1
243,1,3,2,0
160,8,6,1,1
464,2,3,1,0
33,1,6,1,0
656,7,29,5,1
229,0,4,1,0
184,10,24,9,1
792,6,28,7,1
179,0,2,0,0
194,10,27,5,1
799,2,5,8,1
723,2,3,5,1
255,2,3,2,0
259,10,20,7,1
413,1,6,1,0
195,1,0,0,0
173,1,7,2,1
239,4,15,5,1
137,2,0,0,0
644,8,15,4,1
343,4,13,7,1
134,4,15,7,1
501,7,7,5,1
171,3,15,6,1
114,8,0,3,1
100,0,2,6,0
117,1,3,2,0
601,5,14,0,1
331,3,1,5,1
297,10,22,7,1
709,4,0,3,1
470,1,18,9,1
810,6,15,4,1
198,6,19,1,1
179,0,3,0,0
286,2,1,2,0
324,1,10,3,1
184,1,2,0,0
474,4,13,3,1
142,8,16,1,1
257,2,1,0,0
161,5,5,0,0
170,4,20,7,1
205,1,1,1,0
52,2,3,0,0
130,2,1,6,0
996,4,19,3,1
44,0,0,2,0
169,2,0,2,0
170,0,2,1,0
83,10,5,4,1
172,3,1,1,0
653,9,30,9,1
647,3,22,8,1
848,2,1,4,1
459,2,7,8,1
219,2,9,2,0
824,2,20,4,1
39,1,2,0,0
192,1,1,1,0
339,2,1,2,0
199,2,22,4,1
209,3,3,3,0
458,6,5,6,1
909,1,2,3,1
102,1,1,1,0
48,0,0,1,0
143,6,20,3,1
460,4,0,1,0
167,2,13,1,1
129,2,21,7,1
228,1,1,5,0
101,2,3,1,0
316,2,13,8,1
119,0,3,1,0
750,6,21,2,1
425,1,2,0,0
694,1,29,5,1
151,2,2,4,0
142,9,24,10,1
959,5,21,5,1
290,0,3,6,0
37,1,3,2,0
576,0,12,3,1
161,5,27,6,1
723,7,13,10,1
139,3,21,4,1
218,1,6,2,0
224,1,3,0,0
623,8,10,2,1
170,10,26,6,1
110,1,18,9,1
273,1,1,2,0
327,7,0,9,1
299,2,6,7,1
82,2,0,1,0
217,2,3,2,0
171,1,2,0,0
304,3,25,8,1
275,1,1,6,0
734,5,20,5,1
74,1,1,1,0
272,1,0,0,0
460,3,15,4,1
99,2,3,3,0
923,4,22,6,1
130,8,10,3,1
951,8,8,6,1
101,0,1,6,0
297,5,2,0,0
757,8,0,6,1
89,2,1,0,0
233,0,0,1,0
76,2,2,2,0
414,4,13,10,1
683,7,30,4,1
161,9,17,9,1
593,4,20,3,1
188,2,1,2,0
846,0,4,4,1
125,2,2,2,0
514,5,7,10,1
448,2,11,0,1
221,1,0,0,0
190,3,2,4,0
215,5,2,5,0
832,8,2,10,1
417,5,13,8,1
150,2,3,1,0
75,3,0,1,0
116,3,30,3,1
758,10,26,0,1
463,1,3,1,0
744,6,2,3,1
819,8,14,7,1
146,4,12,7,1
325,1,0,2,0
62,0,3,3,0
156,2,2,5,0
82,3,26,9,1
132,0,10,0,0
248,3,19,6,1
613,2,10,9,1
70,2,5,2,0
811,8,27,10,1
41,0,3,2,0
45,0,1,2,0
342,10,8,4,1
730,4,15,0,1
140,0,2,1,0
243,1,3,0,0
75,0,2,10,1
241,5,26,3,1
706,0,17,6,1
162,2,1,1,0
691,7,26,10,1
761,3,8,4,1
161,0,2,0,0
155,2,25,8,1
142,5,4,2,1
51,5,7,2,0
246,2,2,2,0
313,10,28,10,1
262,1,0,0,0
595,0,27,6,1
130,5,13,4,1
186,2,2,2,0
172,0,1,2,0
710,0,26,4,1
533,2,5,4,1
401,0,1,0,0
82,5,30,8,1
62,10,1,9,1
132,0,26,5,1
270,2,5,2,1
302,2,2,2,0
149,3,1,2,0
242,2,3,0,0
193,6,5,2,1
79,4,0,2,0
42,2,1,0,0
292,1,3,1,0
710,9,14,0,1
259,1,3,0,0
317,0,5,0,0
993,5,18,5,1
670,2,13,10,1
217,8,0,10,1
735,7,28,4,1
184,6,13,3,1
447,10,5,4,1
77,7,4,1,1
64,0,0,2,0
65,7,15,6,1
238,1,6,2,0
236,0,1,3,0
194,8,5,8,1
247,2,0,0,0
233,3,26,5,1
70,4,5,6,1
965,10,10,8,1
62,2,3,0,0
990,3,6,5,1
134,4,3,1,0
278,4,0,0,0
417,4,4,8,1
118,3,23,1,1
70,2,3,0,0
193,2,3,1,0
57,7,5,1,1
601,2,25,5,1
153,2,3,1,0
212,10,6,3,1
616,7,5,4,1
325,9,11,5,1
93,2,1,2,0
455,2,3,1,0
176,0,11,1,1
303,4,0,1,0
72,1,1,2,0
198,3,3,2,0
142,9,3,5,1
241,2,19,3,1
736,3,3,9,1
559,4,19,4,1
106,7,8,3,1
477,2,25,10,1
904,3,5,2,1
121,6,20,9,1
197,0,1,2,0
266,2,5,4,0
982,4,15,5,1
892,5,6,5,1
114,7,5,7,1
224,10,29,10,1
471,2,9,6,1
65,1,2,1,0
130,2,0,2,0
74,3,12,4,1
598,9,20,6,1
240,4,0,1,1
73,2,4,1,0
155,2,1,1,0
171,1,7,0,0
195,2,1,1,0
987,1,2,1,1
891,3,10,7,1
119,1,11,5,1
178,3,1,0,0
754,9,24,4,1
486,9,27,3,1
150,5,1,7,1
130,6,23,4,1
35,0,2,1,0
282,1,1,1,0
136,4,1,2,0
205,0,2,1,0
101,4,0,5,1
210,5,2,1,0
529,5,9,7,1
110,5,0,1,0
143,9,27,4,1
116,1,3,0,0
579,3,7,10,1
29,1,2,1,0
93,9,22,1,1
125,1,0,0,0
611,4,22,4,1
340,2,9,8,1
335,0,10,9,1
161,8,26,9,1
330,2,0,2,1
49,0,0,0,0
88,2,27,7,1
151,4,10,1,0
153,5,2,6,1
137,2,16,8,1
732,6,27,7,1
442,1,3,1,0
153,2,10,5,0
720,5,12,2,1
156,0,0,2,0
257,2,2,2,0
496,2,2,2,0
870,7,1,10,1
64,1,2,2,0
445,1,2,1,0
906,2,2,2,1
394,3,22,0,1
197,1,1,4,0
31,2,2,0,0
338,8,7,8,1
389,2,18,5,1
63,1,0,2,0
244,2,0,0,0
108,1,3,2,0
76,0,2,2,0
350,7,22,7,1
269,2,3,2,0
193,2,0,0,0
295,2,2,1,0
33,1,1,1,0
113,4,1,5,0
215,2,0,1,0
845,9,28,5,1
481,10,22,6,1
210,2,3,4,0
294,2,3,5,0
847,4,19,7,1
228,1,0,0,0
816,9,12,5,1
143,10,28,8,1
394,3,4,3,1
503,10,13,3,1
219,0,0,2,0
937,4,8,4,1
86,0,0,1,0
743,6,7,0,1
295,2,1,1,0
470,3,22,10,1
28,1,2,2,0
750,10,9,3,1
212,0,4,0,0
385,3,25,8,1
173,1,2,1,0
184,9,28,7,1
186,2,1,1,0
158,3,10,5,1
653,6,21,2,1
663,6,22,9,1
292,2,2,2,0
46,1,5,1,0
137,2,2,2,0
600,8,15,6,1
189,2,3,2,0
183,0,2,0,0
210,0,10,0,0
223,0,0,0,0
618,6,20,10,1
127,6,28,10,1
510,4,21,9,1
184,2,10,2,0
231,8,6,7,1
439,5,7,7,1
590,2,30,8,1
784,4,12,10,1
328,0,12,6,1
202,1,3,0,0
194,2,2,4,0
447,6,21,9,1
124,0,4,3,0
270,1,3,0,0
614,9,21,4,1
231,1,2,6,0
150,2,10,1,0
259,4,0,1,0
205,5,16,7,1
844,10,8,1,1
962,8,5,5,1
316,8,11,8,1
779,3,23,8,1
991,5,26,3,1
56,3,1,5,1
161,0,1,2,0
514,2,11,3,1
184,0,1,3,0
368,1,4,1,0
118,1,3,0,0
141,7,19,3,1
120,0,17,6,1
328,2,23,3,1
56,10,2,4,1
38,2,0,6,0
118,4,6,10,1
121,8,10,8,1
601,8,5,9,1
166,0,9,0,0
31,5,1,6,0
476,10,11,8,1
440,3,25,0,1
218,2,0,4,0
38,1,3,2,0
146,3,11,4,1
125,4,6,10,1
290,1,2,2,0
188,2,9,3,0
830,5,29,5,1
142,0,0,2,0
115,8,15,9,1
229,0,1,2,0
108,0,1,6,0
221,1,2,2,0
205,1,2,0,0
243,8,30,7,1
200,0,1,1,0
228,1,1,1,0
127,2,15,7,1
178,0,8,2,0
124,2,29,5,1
181,2,12,2,1
79,0,8,6,0
59,2,13,9,1
188,2,24,8,1
874,8,5,8,1
385,4,12,3,1
159,0,0,0,0
85,0,2,1,0
212,4,3,0,0
145,3,26,3,1
182,1,1,1,0
136,0,1,2,0
127,0,2,2,0
148,2,0,1,0
180,8,30,9,1
149,6,5,0,1
630,8,27,5,1
101,0,9,2,0
145,1,2,0,0
241,2,3,1,0
967,3,28,3,1
172,2,2,2,0
388,1,9,8,1
206,1,1,2,0
168,1,29,4,1
80,2,0,2,0
983,2,11,0,1
20,2,2,0,0
170,2,0,0,0
863,7,17,5,1
33,2,2,2,0
182,1,1,1,0
372,1,2,2,0
109,1,1,0,0
252,2,2,2,0
50,1,1,0,0
114,4,6,7,1
33,1,2,1,0
269,0,1,0,0
278,5,2,0,0
583,4,19,4,1
194,1,3,1,0
744,7,17,0,1
1000,3,23,3,1
148,2,0,2,0
290,0,1,0,0
102,2,5,10,1
249,0,3,2,0
100,3,11,8,1
864,9,29,4,1
21,0,1,1,0
107,1,0,2,0
140,2,0,1,0
175,0,0,1,0
140,8,25,7,1
955,8,16,10,1
255,10,7,10,1
216,0,2,2,0
159,0,1,2,0
60,6,7,8,1
110,3,0,2,0
97,0,0,0,0
714,9,30,7,1
428,1,0,1,0
458,1,3,9,1
331,0,3,2,0
30,1,2,2,0
89,2,3,1,0
217,2,1,1,0
32,2,1,4,0
239,1,8,1,0
795,4,9,6,1
704,5,30,2,1
243,0,3,2,0
733,3,0,5,1
36,2,1,0,0
172,9,2,6,1
195,5,1,1,0
649,1,19,10,1
264,2,1,0,0
242,0,0,2,0
71,2,8,2,0
195,7,17,5,1
187,4,9,5,1
202,1,5,3,0
789,0,14,0,1
166,2,1,2,0
100,7,21,6,1
712,7,23,10,1
80,3,1,6,0
97,0,3,0,0
165,1,1,1,0
761,2,2,6,1
30,4,1,1,0
161,4,22,3,1
165,1,3,2,0
50,0,1,0,0
718,2,4,8,1
366,3,0,5,1
499,2,19,4,1
393,0,2,5,0
138,7,30,3,1
429,1,3,4,0
288,0,3,1,0
181,1,4,3,0
199,2,2,0,0
721,3,5,0,1
237,0,6,0,0
161,6,22,3,1
49,2,3,2,0
525,3,20,1,1
172,2,11,10,1
261,6,5,5,1
297,2,13,7,1
87,0,3,2,0
66,3,18,8,1
288,10,21,3,1
962,10,24,3,1
65,5,2,2,0
184,2,1,1,0
140,1,5,4,0
238,2,2,5,0
156,2,1,0,0
116,10,5,0,1
622,9,22,7,1
951,9,2,4,1
284,9,26,6,1
294,1,2,1,0
805,10,3,1,1
174,5,6,2,0
99,0,1,1,0
274,0,1,1,0
371,0,4,6,1
774,2,14,7,1
399,5,23,5,1
51,1,1,0,0
190,9,22,8,1
199,7,5,4,1
177,2,13,8,1
456,5,13,2,1
60,0,0,0,0
269,3,0,2,0
988,8,13,10,1
637,8,26,10,1
393,10,5,4,1
231,9,22,5,1
661,4,21,4,1
127,3,24,5,1
83,10,23,10,1
26,0,6,3,0
632,4,24,4,1
321,9,11,6,1
139,5,3,2,0
326,3,10,5,0
66,1,10,2,0
197,2,3,5,0
438,7,5,6,1
209,0,8,1,0
23,0,1,5,0
418,7,20,3,1
269,0,7,0,0
554,5,7,6,1
314,0,2,0,0
923,6,19,9,1
35,5,1,1,0
134,5,1,0,0
865,10,5,6,1
846,3,22,7,1
276,4,3,1,0
613,2,13,5,1
456,3,11,10,1
307,7,7,3,1
21,0,1,1,0
399,1,2,0,0
196,1,0,6,0
261,1,3,0,0
157,3,13,9,1
383,10,10,1,1
790,9,13,1,1
157,1,2,0,0
222,2,0,5,0
184,4,1,2,0
186,8,1,7,1
249,5,2,2,0
289,2,3,0,0
117,2,24,5,1
129,7,18,2,1
422,5,23,7,1
153,1,2,0,0
904,3,23,7,1
60,3,1,9,1
79,2,3,6,0
142,9,8,8,1
256,2,8,10,1
809,2,5,6,1
275,10,28,3,1
387,1,3,0,0
482,3,16,6,1
283,0,2,1,0
405,10,14,5,1
112,3,13,7,1
949,8,19,9,1
318,3,2,7,1
180,1,2,0,0
522,9,16,10,1
130,2,11,3,1
95,6,8,7,1
954,9,8,6,1
53,3,8,4,1
119,4,4,3,1
910,9,9,5,1
589,10,8,8,1
588,7,12,4,1
215,1,1,0,0
48,3,2,0,0
863,10,0,7,1
224,1,3,2,0
747,8,18,5,1
402,2,3,2,0
138,0,3,0,0
183,4,2,3,0
213,7,7,2,1
205,2,1,2,0
305,8,12,4,1
296,3,17,0,1
127,2,0,4,0
43,0,0,0,0
125,8,28,4,1
66,0,1,2,0
51,2,24,3,1
786,8,9,0,1
164,2,0,8,1
235,10,5,2,1
152,1,3,2,0
992,1,18,1,1
81,2,1,2,0
142,5,4,10,1
60,1,7,3,0
121,1,2,3,0
280,2,2,2,0
540,7,28,10,1
251,1,1,0,0
206,0,0,4,0
207,2,2,2,0
148,2,1,1,0
735,7,30,1,1
641,1,8,7,1
852,3,11,6,1
574,10,21,7,1
291,0,3,0,0
721,3,27,3,1
167,0,9,1,0
31,0,3,1,0
361,3,14,10,1
292,0,4,0,0
158,9,12,7,1
897,9,23,10,1
129,1,8,2,0
476,8,18,9,1
30,0,0,2,0
30,0,2,4,0
132,1,0,0,0
628,2,15,4,1
57,8,15,6,1
363,0,2,0,0
788,3,10,3,1
65,3,2,7,1
34,1,2,0,0
758,7,28,0,1
237,0,3,2,0
73,0,0,0,0
121,1,3,6,0
63,1,2,0,0
63,2,3,2,0
311,1,8,5,1
784,2,5,10,1
140,5,5,8,1
743,7,19,5,1
620,6,8,0,1
125,2,6,0,0
145,1,3,0,0
638,2,13,10,1
160,1,1,2,0
409,2,15,3,1
234,1,3,1,0
665,2,23,0,1
73,1,1,2,0
731,0,21,3,1
769,3,2,6,1
61,4,17,3,1
40,3,9,0,0
113,2,9,2,0
326,1,0,1,0
119,0,2,0,0
27,1,6,2,0
208,2,15,0,1
379,2,11,8,1
275,0,0,3,0
124,4,1,5,1
187,2,0,2,0
167,0,2,0,0
657,9,29,3,1
78,8,17,2,1
577,6,1,5,1
